,time_period,spearman,NDCG
0,2002_1,-0.029991375457726403,-0.07176501880491679
0,2002_2,-0.161966337184902,-0.13196783053237712
0,2003_1,0.0021313186547064424,0.006009038653397872
0,2003_2,-0.05367812761793611,-0.1250072647207597
0,2004_1,0.18490204972355592,0.1948223530692354
0,2004_2,0.07881085725097896,0.01690504216273105
0,2005_1,0.006539750149339013,0.10411837613987054
0,2005_2,-0.023069089771176714,-0.03941964517300342
0,2006_1,-0.03170763900346477,-0.06948467607980312
0,2006_2,-0.06661906598843687,-0.0659096727637864
0,2007_1,0.1624215312109762,0.19018240954011156
0,2007_2,0.18912581228270217,0.30781826081802266
0,2008_1,-0.1650786350774199,-0.3394658652726957
0,2008_2,0.2933167331710327,0.3511611954309821
0,2009_1,0.15462345835708444,0.1924870718227943
0,2009_2,-0.09319269673223893,-0.13773191681011104
0,2010_1,0.06963956707645427,0.08796174536358564
0,2010_2,0.014786211898614723,0.025275174768084337
0,2011_1,-0.03451641085841894,-0.25699877127569376
0,2011_2,-0.187440915712395,-0.16380284290645042
0,2012_1,0.08373411467556455,0.06379290214513023
0,2012_2,0.16313808915317393,0.09712403067278814
0,2013_1,0.1772001843819766,0.029856111525204624
0,2013_2,-0.08208952112563161,-0.06915880779381238
0,2014_1,0.012495879913650807,-0.06216447326878202
0,2014_2,-0.021046454675608475,0.03243141346876888
0,2015_1,-0.11032993738322476,-0.3523795836514507
0,2015_2,-0.06544347289378505,0.00514822500250713
0,2016_1,0.06237018563309151,0.12074756109654217
0,2016_2,-0.0643563897117787,-0.1814589259903682
